0.482 0.5 10.8 2.5 0.4 -1
0.457 0.69 33.4 5.5 7 -1
0.459 0.71 15.8 3.2 1 -1
0.525 0.771 28.5 6.3 1.4 -1
0.478 0.692 21.7 4.2 2 -1
0.483 0.708 24.7 1.4 5.1 -1
0.466 0.813 25.5 2.3 2.3 -1
0.534 0.689 18.5 5.6 1.1 -1
0.519 0.74 22.3 4.7 1.9 -1
0.481 0.677 13.4 2.8 1.1 -1
0.437 0.784 26.7 4 2.5 -1
0.423 0.77 16.3 3.3 1 -1
0.486 0.567 29.4 6.1 2.1 -1
0.511 0.729 27.4 5.2 2.3 -1
0.461 0.87 32.6 3.6 2.9 -1
0.446 0.84 19.8 2.8 1.3 -1
0.504 0.718 24.7 7.1 0.9 -1
0.459 0.783 17.3 1.4 3.1 -1
0.516 0.58 16.8 3.5 0.7 -1
0.411 0.779 18.2 1.5 2.6 -1
0.43 0.759 25.1 4.1 1.3 -1
0.478 0.767 18.6 2.7 1.4 -1
0.497 0.67 27.6 7.5 1.3 1
0.459 0.645 23.8 6.4 0.8 -1
0.466 0.711 25 4.6 1.2 -1
0.435 0.597 26.3 6.8 0.7 -1
0.494 0.566 17.9 4.7 0.5 -1
0.463 0.693 33.4 8.4 3.7 -1
0.472 0.59 26.3 4.9 1.9 -1
0.397 0.718 26.5 4.7 1.5 -1
0.404 0.73 25.2 2.7 3.6 -1
0.591 0.644 28.5 9.3 0.9 1
0.541 0.643 19.9 4.9 0.7 -1
0.46 0.625 16 3.2 0.7 -1
0.489 0.743 26.7 7.6 1.3 -1
0.477 0.798 22.1 2.6 3.4 -1
0.435 0.814 33.9 2.5 3.3 -1
0.67 0.421 27.1 9.6 0.6 -1
0.403 0.733 20.9 1.9 4 -1
0.458 0.837 22.1 1.5 1.7 -1
0.481 0.665 16.7 2.8 1.2 -1
0.408 0.771 22.3 2.6 4 -1
0.462 0.74 16.1 2.8 0.7 -1
0.392 0.698 17.5 2.6 1.1 -1
0.502 0.591 10.8 2.1 0.3 -1
0.448 0.665 9.9 2.2 0.2 -1
0.447 0.838 32 3.8 2.1 1
0.455 0.738 14.4 2.9 0.3 -1
0.417 0.788 15.5 1.7 2.3 -1
0.5 0.498 14.8 4.4 0.4 -1
0.414 0.725 22.7 2.1 2.3 -1
0.433 0.815 27.7 3.1 5.8 -1
0.394 0.716 21.6 2.7 1.3 -1
0.437 0.794 26.2 2.3 4.4 -1
0.467 0.725 22.1 5.4 1.4 -1
0.418 0.833 23.3 2 1 -1
0.419 0.658 15.6 3.4 1.2 -1
0.542 0.583 19.2 5.4 0.3 -1
0.446 0.76 16.7 2.2 0.8 -1
0.429 0.789 36 4.5 9 -1
0.421 0.768 16.6 1.8 3 -1
0.463 0.707 28 3.3 2.1 -1
0.481 0.806 19.3 5 1.1 -1
0.461 0.811 35.5 6.7 2.5 1
0.473 0.812 26.8 5.1 1.4 -1
0.468 0.662 19.3 2.2 1.6 -1
0.515 0.826 31.8 2.7 10.5 1
0.516 0.742 37.2 10.1 3.6 1
0.457 0.843 21.7 2.4 1.8 -1
0.476 0.688 18.3 3.2 1.5 -1
0.491 0.692 25 6.3 1 -1
0.483 0.72 15.7 3.5 0.6 -1
0.409 0.741 22.7 2 2.8 -1
0.445 0.812 31.2 4.5 2.6 -1
0.439 0.8 32.4 4.6 3.4 1
0.497 0.615 20.6 6.9 0.9 -1
0.421 0.803 35.1 3.9 5.3 1
0.438 0.707 34.1 5 2.7 -1
0.445 0.785 27.3 7.8 1.5 -1
0.441 0.803 28.4 4.4 2.3 -1
0.425 0.665 21.5 3.1 0.8 -1
0.394 0.666 18.2 1.7 1.9 -1
0.538 0.529 23.5 7.1 1.5 -1
0.49 0.746 28.3 7.4 1.2 -1
0.506 0.675 14.9 3.6 0.6 -1
0.438 0.779 24.2 3.3 2.7 -1
0.49 0.714 22.8 3.9 1.2 -1
0.45 0.895 33.5 4.7 1.8 1
0.417 0.703 20.4 3.3 1.1 -1
0.414 0.745 19.6 1.7 2.9 -1
0.398 0.813 29.4 2.3 5.9 -1
0.485 0.617 13.3 3.1 0.3 -1
0.426 0.784 26.8 4 2.8 -1
0.469 0.709 29.7 5.8 2.1 -1
0.401 0.831 15.4 1.4 2.5 -1
0.437 0.87 30.2 3.2 1.9 -1
0.427 0.799 21.6 2.6 1.4 -1
0.456 0.708 23.4 5.9 1.9 -1
0.496 0.657 25.2 6.6 1.1 -1
0.446 0.757 33.4 4.9 5.3 -1
0.442 0.677 21.7 4.2 1.2 -1
0.553 0.776 9.8 2.7 0.4 -1
0.46 0.728 31.6 10.8 2.7 1
0.507 0.559 21.2 6.5 0.3 -1
0.437 0.863 29.2 2.6 5 -1
0.442 0.905 26.7 1.9 3.5 -1
0.451 0.724 34.8 7.5 1.6 -1
0.417 0.763 14.7 2.2 0.6 -1
0.418 0.773 27.2 3.5 1.5 -1
0.477 0.511 11.7 3.4 0.5 -1
0.4 0.703 17.2 1.7 1 -1
0.494 0.799 35.8 8.5 2 1
0.485 0.749 20.2 4 0.7 -1
0.447 0.77 30.2 3.8 8 -1
0.444 0.743 11 2 0.4 -1
0.389 0.756 15.8 1.6 2.7 -1
0.506 0.696 34 10.8 3 1
0.45 0.827 26.3 3.7 4 1
0.494 0.753 32.1 2.9 5.9 1
