284,Josh Smith,0,0,2004,17,ATL,0,12,891,28988,12994,6649,2789,0.453,0.285,0.632,32.5,14.6,7.5,3.1,51,0.085,2.1,30,Billy Knight,1883 days 00:00:00.000000000,11,4,0,0,0,0,0,0
286,Royal Ivey,0,0,2004,37,ATL,University of Texas at Austin,10,492,6162,1641,557,501,0.406,0.361,0.706,12.5,3.3,1.1,1,4.5,0.035,-3.8,-2.8,Billy Knight,1883 days 00:00:00.000000000,11,4,1,0,0,0,0,0
288,Marvin Williams,0,0,2005,2,ATL,University of North Carolina,11,785,22596,8273,4086,1019,0.446,0.354,0.802,28.8,10.5,5.2,1.3,48.9,0.104,-0.5,8.6,Billy Knight,1883 days 00:00:00.000000000,11,5,1,0,0,0,0,0
291,Shelden Williams,0,0,2006,5,ATL,Duke University,6,361,5586,1618,1562,163,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,-2.8,-1.2,Billy Knight,1883 days 00:00:00.000000000,11,6,1,0,0,0,0,0
292,Solomon Jones,0,0,2006,33,ATL,University of South Florida,8,281,3092,839,654,99,0.467,0.111,0.717,11,3,2.3,0.4,5,0.078,-2.9,-0.7,Billy Knight,1883 days 00:00:00.000000000,11,6,1,0,0,0,0,0
293,Al Horford,1,4,2007,3,ATL,University of Florida,9,578,19342,8288,5144,1589,0.535,0.34,0.743,33.5,14.3,8.9,2.7,64.2,0.159,3,24.4,Billy Knight,1883 days 00:00:00.000000000,11,7,1,0,0,0,0,0
295,Pooh Richardson,0,0,1989,10,MIN,"University of California, Los Angeles",10,639,19399,7083,1807,4180,0.444,0.329,0.652,30.4,11.1,2.8,6.5,26.7,0.066,-0.9,5.5,Billy McKinney,1063 days 00:00:00.000000000,12,1,1,0,0,0,0,0
297,Doug West,0,0,1989,38,MIN,Villanova University,12,676,16649,6477,1670,1292,0.481,0.191,0.801,24.6,9.6,2.5,1.9,17.7,0.051,-2.5,-2.2,Billy McKinney,1063 days 00:00:00.000000000,12,1,1,0,0,0,0,0
298,Felton Spencer,0,0,1990,6,MIN,University of Louisville,12,640,12298,3354,3436,213,0.484,0,0.658,19.2,5.2,5.4,0.3,20.9,0.081,-2.6,-1.9,Billy McKinney,1063 days 00:00:00.000000000,12,2,1,0,0,0,0,0
300,Don MacLean,0,0,1992,19,DET,"University of California, Los Angeles",9,319,6679,3490,1210,404,0.455,0.284,0.765,20.9,10.9,3.8,1.3,9.4,0.067,-3.7,-2.9,Billy McKinney,1037 days 00:00:00.000000000,12,3,1,0,0,0,0,0
301,Lindsey Hunter,0,0,1993,10,DET,Jackson State University,17,937,23253,7956,2021,2506,0.388,0.36,0.746,24.8,8.5,2.2,2.7,32.9,0.068,-0.4,9.5,Billy McKinney,1037 days 00:00:00.000000000,12,4,1,0,0,0,0,0
302,Allan Houston,0,0,1993,11,DET,University of Tennessee,12,839,28311,14551,2434,1990,0.444,0.402,0.863,33.7,17.3,2.9,2.4,55.3,0.094,-0.6,9.9,Billy McKinney,1037 days 00:00:00.000000000,12,4,1,0,0,0,0,0
303,Grant Hill,5,7,1994,3,DET,Duke University,18,1026,34776,17137,6169,4252,0.483,0.314,0.769,33.9,16.7,6,4.1,99.9,0.138,2.8,42.5,Billy McKinney,1037 days 00:00:00.000000000,12,5,1,0,0,0,0,0
315,Gene Banks,0,0,1981,28,SAS,Duke University,6,468,13074,5305,2718,1335,0.539,0.043,0.73,27.9,11.3,5.8,2.9,31.2,0.115,2,13.3,Bob Bass,5425 days 00:00:00.000000000,13,2,1,0,0,0,0,0
334,John Paxson,0,0,1983,19,SAS,University of Notre Dame,11,772,17257,5560,906,2758,0.499,0.355,0.804,22.4,7.2,1.2,3.6,36.3,0.101,-2.6,-2.7,Bob Bass,5425 days 00:00:00.000000000,13,4,1,0,0,0,0,0
336,Kevin Williams,0,0,1983,46,SAS,St. John's University,5,260,2947,1268,356,319,0.435,0.077,0.805,11.3,4.9,1.4,1.2,2.6,0.042,-2.8,-0.6,Bob Bass,5425 days 00:00:00.000000000,13,4,1,0,0,0,0,0
344,Alvin Robertson,1,4,1984,7,SAS,University of Arkansas,10,779,24669,10882,4066,3929,0.477,0.295,0.743,31.7,14,5.2,5,52.1,0.101,4,37.3,Bob Bass,5425 days 00:00:00.000000000,13,5,1,0,0,0,0,0
356,Tyrone Corbin,0,0,1985,35,SAS,DePaul University,16,1065,27657,9766,5046,1894,0.456,0.299,0.791,26,9.2,4.7,1.8,56.5,0.098,0.8,19.2,Bob Bass,5425 days 00:00:00.000000000,13,6,1,0,0,0,0,0
361,Johnny Dawkins,0,0,1986,10,SAS,Duke University,9,541,14859,5984,1336,2997,0.456,0.33,0.857,27.5,11.1,2.5,5.5,21.8,0.07,-1.8,0.7,Bob Bass,5425 days 00:00:00.000000000,13,7,1,0,0,0,0,0
362,Kevin Duckworth,0,0,1986,33,SAS,Eastern Illinois University,11,684,17462,8085,3945,598,0.468,0.208,0.736,25.5,11.8,5.8,0.9,24.7,0.068,-3.7,-7.4,Bob Bass,5425 days 00:00:00.000000000,13,7,1,0,0,0,0,0
